EV,C
3.9,0.56195
3.925,0.57407
3.95,0.58607
3.975,0.59499
4,0.60373
4.025,0.62143
4.05,0.63892
4.075,0.66002
4.1,0.68084
4.125,0.69559
4.15,0.71021
4.175,0.71939
4.2,0.72849
4.225,0.73735
4.25,0.74598
4.275,0.75218
4.3,0.75826
4.325,0.76408
4.35,0.76989
4.375,0.77918
4.4,0.78846
4.425,0.79921
4.45,0.80991
4.475,0.82173
4.5,0.83348
4.525,0.84945
4.55,0.86522
4.575,0.88045
4.6,0.89551
4.625,0.90738
4.65,0.91917
4.675,0.93081
4.7,0.9424
4.725,0.95074
4.75,0.95895
4.775,0.96496
4.8,0.97098
4.825,0.97668
4.85,0.98238
4.875,0.98774
4.9,0.99305
4.925,0.99508
4.95,0.99705
4.975,0.99851
5,0.99998
5.025,0.99825
5.05,0.9966
5.075,0.9923
5.1,0.98802
5.125,0.97926
5.15,0.97055
5.175,0.95709
5.2,0.94377
5.225,0.92506
5.25,0.90659
5.275,0.88127
5.3,0.85621
5.325,0.82679
5.35,0.79764
5.375,0.76532
5.4,0.73336
5.425,0.70172
5.45,0.67034
5.475,0.6403
5.5,0.61044
5.525,0.58411
5.55,0.55804
5.575,0.53465
5.6,0.51146
5.625,0.49057
5.65,0.46982
5.675,0.45217
5.7,0.43461
5.725,0.41656
5.75,0.3986
5.775,0.38088
5.8,0.36322
5.825,0.34632
5.85,0.32955
5.875,0.31502
5.9,0.30061
5.925,0.28673
5.95,0.27305
5.975,0.26273
6,0.25246
6.025,0.24534
6.05,0.23834
6.075,0.23324
6.1,0.22818
6.125,0.2239
6.15,0.21971
6.175,0.21643
6.2,0.21322
6.225,0.20875
6.25,0.20437
6.275,0.19846
6.3,0.19256
6.325,0.18944
6.35,0.18634
6.375,0.18312
6.4,0.1799
